AI	AQ	BI	BQ
-12	51	-33	-57	
-41	58	66	-145	
-2	120	98	-5	
-89	53	-53	-24	
-50	40	65	-82	
-60	73	43	-106	
-35	74	100	-94	
-48	-8	38	-21	
-123	48	-40	-60	
-65	73	-19	-33	
-74	60	-8	-157	
-110	47	-79	-66	
-82	69	50	-121	
-122	40	-34	-64	
-139	52	12	-72	
-66	72	140	-159	
-76	76	41	72	
-87	-7	-129	-140	
-99	79	93	28	
-85	7	-61	-51	
-41	59	-22	-140	
-56	113	6	-71	
-42	53	-42	-99	
-90	100	71	-135	
-97	62	75	-67	
-58	45	2	-126	
-87	60	-82	-110	
-53	28	66	-59	
-31	66	149	-83	
-61	106	27	-99	
-90	43	-24	-83	
-92	96	-18	-124	
-54	7	-54	-131	
-38	91	-70	-88	
-64	85	94	-30	
-49	76	-44	-206	
-41	20	52	-185	
-42	110	-32	-39	
-98	113	47	-103	
-77	99	-52	-63	
-67	-5	-55	-59	
-45	78	152	-135	
-40	62	-56	47	
-37	68	-48	-106	
31	113	21	-52	
-50	23	-35	-105	
-67	122	-41	-133	
-38	109	31	-64	
-92	44	13	-87	
-28	67	-22	-118	
-22	59	-23	-77	
-81	91	23	-126	
-34	82	-56	-13	
-97	32	-47	-155	
-75	123	9	-76	
-36	130	-112	-119	
-45	47	4	30	
-4	59	-53	-125	
-99	26	-8	-202	
-40	67	-39	-72	
-15	65	-11	-114	
-89	90	58	-110	
1	56	-42	25	
-29	88	-71	-134	
-41	106	61	-8	
-97	128	13	-67	
-23	116	-8	-156	
-46	134	-148	-186	
-9	76	54	-121	
-103	137	-26	-100	
-24	138	-23	-27	
-53	53	-39	-136	
-50	41	-67	-42	
-30	19	-55	-47	
-4	54	-31	-119	
-63	101	9	-74	
-94	42	-31	-160	
-76	68	-71	-34	
-24	134	-95	-96	
-63	116	-1	-121	
-21	90	-56	-79	
13	106	25	-57	
-29	134	-42	-122	
12	102	-118	-5	
9	78	-67	0	
11	79	0	-147	
-34	89	-140	-69	
-9	56	-60	-52	
-51	150	-36	-128	
-28	128	29	-164	
-70	91	-47	-4	
-70	62	-103	-62	
-23	85	-89	-43	
8	81	-122	-142	
49	129	-86	-129	
-25	59	-7	-186	
-13	36	-58	-69	
-10	45	-150	-24	
0	24	-108	-85	
35	125	-91	-48	
-2	94	17	-3	
17	40	-83	-180	
-43	42	-68	1	
-17	47	-43	-3	
28	61	-99	-113	
10	117	-73	-88	
29	102	-90	-11	
7	173	-26	-67	
-25	118	-30	-69	
19	70	-111	-96	
31	68	53	-68	
-8	92	-36	-25	
-4	99	-20	16	
25	146	-70	-12	
-29	89	-69	-189	
0	123	-53	-98	
53	126	-137	-60	
-11	110	3	-112	
14	75	-61	14	
71	57	-224	-52	
9	84	47	-65	
-58	100	17	34	
2	136	-45	-86	
83	130	23	22	
-8	124	-18	-98	
67	124	9	-90	
34	70	11	33	
44	99	-36	-34	
-67	123	-39	-67	
20	26	-50	-13	
4	180	5	-15	
67	104	-95	19	
78	150	-95	-83	
9	97	-63	27	
54	74	-110	-24	
29	173	-74	-36	
-39	131	-117	-49	
-8	84	-48	106	
39	135	-207	23	
-26	122	-61	-54	
20	9	-18	-16	
8	122	-42	-88	
16	64	-62	74	
50	5	42	-78	
12	96	-44	-23	
-11	89	-13	6	
-64	124	-93	-35	
-10	160	-84	-109	
-2	121	-21	-18	
-11	157	-53	23	
-27	89	-179	-52	
-71	95	-137	-85	
-49	89	-141	51	
57	185	-61	-21	
27	187	-11	-34	
75	95	-103	63	
134	61	-175	-53	
72	51	-94	-33	
62	-8	-55	47	
75	107	-111	-115	
52	152	5	-26	
41	46	-76	29	
26	53	-136	-76	
71	161	-114	59	
86	31	-184	-163	
30	69	-146	-15	
57	168	41	36	
77	112	-81	45	
24	43	-98	-50	
84	61	-105	-109	
87	-1	-135	117	
58	98	-67	6	
6	50	-175	35	
62	89	-54	-61	
56	143	-48	25	
-9	94	-111	41	
35	114	-121	-82	
87	61	-19	6	
39	99	64	7	
27	75	-80	23	
51	21	-106	65	
130	58	-53	49	
25	133	-111	-15	
87	106	-176	-86	
-9	34	-48	-86	
-13	111	-184	43	
0	118	-16	-86	
52	121	-81	3	
88	19	-106	135	
-2	22	-86	-8	
87	74	-68	45	
66	100	-200	-11	
29	103	-147	-61	
43	116	-46	-40	
45	97	-176	-1	
91	68	-83	-84	
11	21	-141	-37	
48	26	-171	-86	
33	43	-112	69	
88	-1	-157	48	
110	38	-31	3	
65	62	-102	21	
76	135	-78	23	
34	54	-134	-15	
3	67	-14	8	
74	92	-80	17	
42	49	-135	-58	
66	67	-73	-56	
124	50	-23	123	
84	60	-126	-52	
65	77	-82	-9	
52	72	-65	40	
51	66	-44	-48	
77	93	-6	109	
64	10	-123	64	
125	39	-77	-113	
83	67	-76	39	
125	13	-97	3	
60	89	-170	-40	
51	114	105	-13	
99	69	3	125	
